ssoc,title,description
51949,Other animal/bird keepers and animal care workers,This group includes animal/bird keepers and animal care workers not elsewhere classified.
51950,Driving instructor/tester,Driving instructor/tester teaches people the theoretical and practical aspects on how to operate a vehicle safely and according to regulations. He/she prepares students for the driving theory and the driving examination. He/she may also supervise driving examinations.
51991,Social escort,"Social escort serves as companion or friend to clients, usually at meals, dances and other social and recreational activities. He/she also entertains clients by making conversation on subjects of interest."
51999,Other personal service workers n.e.c.,This group includes personal service workers not elsewhere classified.
52110,Hawker/Stall holder (excluding prepared food or drinks),Hawkers/Stall holder (excluding prepared food or drinks) sells various goods from stalls on open-air or covered markets or from stalls in streets or other open spaces.
52120,Hawker/Stall holder (prepared food or drinks),"Hawker/Stall holder (prepared food or drinks) prepares and sells, or sells previously prepared, hot or cold food and beverages ready for immediate consumption in streets and public places such as hawker centres and markets."
52130,Newsvendor,"Newsvendor sells newspapers and magazines in streets and public places such as stations, shopping centres or theatres."
52190,Other stall sales worker,This group includes stall sales workers not classified elsewhere in Minor Group 521 ‘Stall Sales Workers'.
52201,Sales supervisor,"Sales supervisor supervises and coordinates the activities of shop sales assistants, checkout operators and other workers in retail and wholesale shops such as supermarkets and department stores. He/she oversees daily store operations and manages merchandising activities to optimise sales performance. He/she estimates needs of business and authorises the purchase of goods of the types, qualities and quantities required."
52202,Shop sales assistant,"Shop sales assistant sells a range of goods and services directly to the public or on behalf of retail and wholesale establishments, and explains the functions and qualities of these goods and services. He/she assists customers by pointing out features and merits of an article or by demonstrating them, and quotes prices, credit terms and quantity discounts. He/she may handle order fulfilment processes for online orders and collection in-store."
52301,Cage/Count supervisor,"Cage/Count supervisor oversees and manages the casino cage personnel in the exchanging of coins, tokens and chips for patrons' money. He/she issues payoffs and obtains the customer's signature on receipt while operating a booth in the slot machine area."
52302,Cashier (general),"Cashier (general) receives cash and gives change in retail stores, theatres or other establishments in payment for goods or services. He/she checks the amount due, collects money, gives change and issues receipts or tickets as required."
52303,Office cashier,"Office cashier takes charge of cash and keeps records of cash transactions incident to the conduct of a business, usually in an office. He/she receives incoming cash, checks it against sales slips or cash receipts, makes change and cashes cheques."
52309,"Other cashiers, ticket and related clerks","This group includes cashiers, ticket and related clerks not elsewhere classified."
52411,Fashion model,"Fashion model wears and displays clothing and accessories and poses for photographs, film and video, advertising, still photography or for artistic creation to promote products. He/she strikes the right pose in front of a camera and ensures his/her appearance is in order."
52419,Other models (e.g. artist's model),This group includes models not elsewhere classified.
52421,Sales demonstrator,"Sales demonstrator gives demonstrations of articles for sale at commercial premises, exhibitions and private homes. He/she explains the merits of an article and shows how it works, attempting to stimulate buying interest."
52422,Salesperson (door-to-door),"Salesperson (door-to-door) describes, demonstrates and sells goods and services and solicits business for establishments by approaching or visiting potential customers, usually residents in private homes, by going from door to door. He/she gives details of what establishment can supply and quotes prices and terms."
52440,Telemarketer,"Telemarketer contacts existing and prospective customers, using the telephone or other electronic communications media to promote goods and services, obtain sales and arrange sales visits."
52491,Petrol station attendant,"Petrol station attendant sells fuel, lubricants and other automotive products and provides services such as fuelling, cleaning and lubricating. He/she ascertains the customer's requirements and supplies petrol, oil, air or water."
52492,Food service counter attendant,"Food service counter attendant serves customers at food counters and finishes preparation of simple food items in restaurants, cafés, hotels, fast food outlets, cafeterias, hospitals and other settings. He/she performs duties such as taking orders and serving food and beverages. He/she serves customers at a counter or from a steam table by taking payments and preparing food and beverages."
52499,Sales workers n.e.c. (e.g. ship chandler),This group include sales workers not elsewhere classified.
53111,Babysitter/Infant care-giver,"Babysitter/Infant care-giver provides short-term care services to children on the premises of the employer, or other locations depending on the employer's needs. He/she organises play activities and entertains children with games and other cultural and educative activities according to their respective age."
53112,Confinement nanny,"Confinement nanny performs neonatal care such as feeding, nursing, and changing diapers, clothes, and bedding. He/she provides advice on postpartum contractions, lochia observation and ensures a healthy environment for both mother and baby by preparing nutritious meals, practicing maternal healthcare, and performing basic domestic services such as sweeping and mopping. He/she may monitor the baby's development such as by regular measurement of the baby's body temperature, height and weight."
53113,Child/After school care centre worker,Child/After school care centre worker provides care for children when the parents or family members are unavailable. He/she looks after the children's basic needs and helps or supervises them during play and study.
53114,Child/Youth residential care assistant,"Child/Youth residential care assistant cares for children in private households and provides support and expertise to parents in satisfying children's physical, emotional, intellectual, and social needs. He/she is also involved in meal planning and preparation, laundry and clothing care, organisation of play activities and outings, discipline, intellectual stimulation, language activities, and transportation."
53115,Educarer,Educarer works closely with young children between the ages of 2 months and 4 years and their families to ensure that the best care is provided for their children. He/she nurtures the curiosity in and supports the unique needs of each child.
53120,Teacher aide,"Teacher aide performs non-teaching duties to assist teaching staff, and provides care and supervision for children in schools and pre-schools. He/she performs duties that are instructional in nature, works closely with teachers to support the teaching and learning of primary and secondary school students in both academic and non-academic areas."
53201,Healthcare assistant (e.g. therapy aide/assistant),"Healthcare assistant works together in a team with registered nurses within the occupational fields of nursing, care and maintenance of people of all age-groups in all diverse acute care settings as well as in primary care environments. He/she sets up, prepares, checks, and cleans materials, tools, treatment areas and equipment for therapy of patients. He/she may transfer patients to and from treatment areas under the instructions of a therapist."
53202,Nursing aide/assistant,"Nursing aide/assistant provides or assists with basic care and support under the direction of licensed nursing staff. He/she performs duties such as monitoring of health status, feeding, bathing, dressing, grooming, toileting, or ambulation of patients in a health or nursing facility, medication administration and other health-related tasks."
53203,Dental aide/assistant,"Dental aide/assistant performs limited clinical duties under the direction of a dentist, including equipment preparation and sterilization, preparing patients for treatment, assisting the dentist during treatment, and providing patients with instructions for oral healthcare procedures. He/she may perform administrative duties such as scheduling appointments, maintaining medical records, billing, and coding information for insurance purposes."
53209,"Other personal care workers (e.g. old folks' home, nursing home, home care)",This group includes personal care workers not elsewhere classified.
54110,Fire-fighting and rescue officer,"Fire-fighters and rescue officer prevents, fights and extinguishes fires and assists in other emergencies, protects life and property and conducts rescue efforts."
54121,Police officer,Police officer performs surveillance and patrol activities to prevent crimes. He/she uses investigation methods to pursue and apprehend criminals while protecting the public from violent and criminal activities.
54122,Narcotics officer,Narcotics officer investigates and conducts undercover operations to gather evidence and arrest drug offenders during field operations.
54123,Auxiliary police officer,"Auxiliary police officer protects assigned premises, assets and personnel. He/she maintains law and order, and safeguards premises from potential security threats. He/she also performs access control, security screening, regulating traffic duties, patrolling and guarding services, and manages incidents and emergencies."
54130,Prison officer,"Prison officer watches over and maintains order among inmates of prisons, reformatories or penitentiaries. He/she supervises inmates in a correctional facility and ensures the security and peace-keeping in the facility. He/she performs checks and searches to ensure compliance to regulations in addition to monitoring visitations and the activities of inmates."
54141,Senior security supervisor,"Senior security supervisor leads his/her security team in providing protection to assigned premises, assets and personnel. He/she plans, deploys and conducts security operation audits, as well as assesses security risks and their mitigation. He/she conducts after action reviews, assesses performance of security personnel and develops training plans."
54142,Security supervisor,"Security supervisor assists the senior security supervisor in leading the security team which protects assigned premises, assets and personnel. He/she assigns areas to be patrolled by guards on a regular basis and transfers the individual caught trespassing to police custody. He/she also handles medical incidents, compiles incident reports, liaises with and provides relevant information requested by other departments."
54143,Senior private security officer,"Senior private security officer protects assigned premises, assets and personnel. He/she manages key press, regulates traffic, attends to enquiries from stakeholders, performs surveillance at the command centre, operates security systems, provides assistance to law enforcement and manages incidents and emergencies."
54144,Private security officer,"Private security officer protects assigned premises, assets and personnel. He/she performs access control, conducts security screening, attends to enquiries from stakeholders, patrols and guards premises, as well as manages incidents and emergencies."
54150,Lifeguard,"Lifeguard looks after the safety of people at beaches or swimming pools through accident prevention and rescue and educates the public on water safety. He/she monitors and ensures safety in the aquatic facility by preventing and responding to any emergencies. He/she identifies potential risks, advises individuals on proper behaviour and dangerous zones, and conducts life-saving techniques such as first aid."
54191,Private investigator,"Private investigator conducts private investigations for commercial, other establishments or individuals. He/she investigates shoplifting, theft, dishonesty or other undesirable conduct among employees or customers of a business establishment or other private organisations."
54192,Industrial investigator,Industrial investigator investigates and determines facts in connection with spurious goods at the request of manufacturing companies or establishments. He/she investigates source of goods known to be imitations and makes detailed reports to his/her employers.
54193,Insurance investigator,"Insurance investigator investigates, analyses, and determines the facts in connection with spurious claims at the request of insurance companies. He/she corresponds with or interviews medical specialists, agents, witnesses, or claimants to compile information."
54194,Park ranger,"Park ranger supervises and coordinates activities of workers engaged in silvi-cultural work in park ranges. He/she supervises the silvi-cultural work such as poison-girdling, planting thinning and enumeration of trees in a specific park range."
54199,Other protective services and related workers n.e.c.,This group includes protective services and related workers not elsewhere classified.
59000,Service worker n.e.c.,This group includes service workers not elsewhere classified in Unit Groups 5111-5419.
61110,Vegetable farm worker,"Vegetable farm worker performs farming operations to grow and harvest various types of field crops such as rice and other cereals, beetroot, sugar-cane, ground-nuts, tobacco, reed or other field crops and potatoes, cabbages or other field vegetables, for sale or delivery on a regular basis to wholesale buyers, marketing organisations or at markets."
61131,Landscape and plant nursery supervisor,"Landscape and plant nursery supervisor plans work schedules and assigns duties to gardeners, horticultural and nursery workers. He/she implements plant propagation practices, and maintains and monitors production systems in addition to ensuring that plants are in the optimal condition for sale or delivery for landscape projects."
61132,Plant nursery worker,"Plant nursery worker operates a plant nursery to cultivate and maintain trees, shrubs, flowers and other plants for sale or delivery for landscape projects. He/she performs tasks such as plant propagation, watering, pruning, fertilising, and pest or disease treatment."
61133,Gardeners and horticultural worker,"Gardeners and horticultural worker performs operations work in nurseries or greenhouses for the production of horticultural crops. He/she cultivates flowers, trees, shrubs and other plants in parks or in public or private gardens."
61210,Livestock/Dairy farm worker,"Livestock/Dairy farm worker breeds and raises domesticated animals (excluding poultry), such as cattle, sheep, pigs, goats, horses and camels, for the production of meat, milk and other dairy products, skins and wool or for use as working, sporting or recreational animals, for sale or delivery to wholesale buyers, marketing organisations or at markets."
61221,Poultry farm worker,"Poultry farm worker performs farming operations to breed and raise poultry for eggs or meat. He/she specialises in raising poultry, such as fowls, ducks, geese and turkeys."
61222,Poultry inseminator,Poultry inseminator collects semen from roosters and fertilises hens to obtain hatching eggs. He/she injects semen into oviduct of hen using a calibrated syringe and maintains records of insemination.
61900,Agricultural worker n.e.c.,This group includes agricultural workers not elsewhere classified in Sub-major Group 61 ‘Agricultural Workers'.
62211,Fish/Prawn farm worker,"Fish/Prawn farm worker performs a variety of tasks in the breeding and raising of fishes and prawns. He/she obtains and hatches fish eggs or buys young fish (fry) from fish hatcheries. He/she collects, sorts and markets fishes and prawns for food or for stocking rivers, lakes and other fishing grounds."
62212,Aquarium fish farm worker,"Aquarium fish farm worker breeds and raises aquarium fish for sale. He/she buys young fish (fry) and transfers fry to aquariums and provides required foods. He/she collects, sorts and packs aquarium fish for sale."
62219,Other aquatic life cultivation workers (e.g. oyster farm worker),This group includes aquatic life cultivation workers not elsewhere classified.
62220,Coastal waters/Deep sea fishery worker,"Coastal waters/Deep sea fishery worker, alone, or either as skipper or member of fishing crews, catches fish or gathers other forms of aquatic life in deep sea, inland or coastal waters for sale or delivery to wholesale buyers, marketing organisations or at markets."
71000,Supervisor/General foreman (building and related trades),"Supervisor/General foreman (building and related trades) supervises activities of a distinct unit at a construction site, controls and coordinates the activities of workers who are engaged in various occupations."
71120,Bricklayer/Blocklayer,"Bricklayer/Blocklayer lays bricks, pre-cut stones and other types of building stones in mortar to construct and repair walls, partitions, arches and other structures."
71130,"Stone cutter, splitter, carver and stonemason","Stone cutter, splitter, carver and stonemason cuts and shapes hard and soft stone blocks and slabs for the construction and maintenance of stone structures and monumental masonry and carves designs and figures in stones."
71141,Concrete form worker,"Concrete form worker builds, assembles, places in position and dismantles rough wooden structures (shuttering) into which concrete is poured and allowed to set. He/she marks out, cuts and adjusts wood to be assembled in shuttering partitions or assembles shuttering from prefabricated wooden parts."
71142,Cement finisher/Screeder,"Cement finisher/Screeder finishes surfaces of concrete structures and smooths surfaces of freshly poured concrete sections. He/she cuts ridges, bumps and projecting wire from concrete surface with chisel and hammer. He/she patches holes and broken corners by wetting them."
71149,"Other concrete placers, concrete finishers and related workers","This group includes concrete placers, concrete finishers and related workers not elsewhere classified."
71151,Carpenter,"Carpenter cuts out, assembles, erects and repairs structural and other woodwork at work bench and on construction site. He/she works from plans, sketches or instructions received and marks out reference points accordingly to facilitate cutting and shaping."
71152,Joiner,"Joiner fits, assembles and installs wooden internal and external fixtures of buildings such as door and window frames, facings and panelling in workshop or on site. He/she may make parts of woodwork."
71191,Scaffolder,"Scaffolder erects temporary metal or wooden scaffolding on building sites for construction, renovation, exterior painting and similar purposes. He/she fixes upright members in place and secures horizontal members to uprights to support platforms."
71192,Cladding/Curtain wall erector,Cladding/Curtain wall erector installs cladding and curtain wall for the external walls of buildings.
71199,Other building frame and related trades workers n.e.c. (e.g. steeplejack),This group includes building frame and related trades workers not elsewhere classified.
71210,Roofer,"Roofer builds and repairs roofs on all types of buildings using one or more kinds of materials. He/she builds, repairs and covers roofs of structures with shingles, slate, asphalt, aluminium, wood, or related materials. He/she may spray roofs, sidings, and walls with material to bind, seal, insulate, or soundproof sections of structures."
71220,Floor/Wall tiler,"Floor/Wall tiler installs, maintains and repairs flooring, and covers floors, walls and other surfaces with tiles or mosaic panels for decorative or other purposes. He/she cuts tiles to the right size and shape, prepares the surface, and puts the tiles in place flush and straight."
71230,Plasterer,"Plasterer installs, maintains and repairs plasterboard in buildings, and applies decorative and protective coverings of plaster, cement and similar material to the interiors and exteriors of structures. He/she applies one or more coats of plaster to interior walls and ceilings of buildings to produce a finished surface."
71241,Refrigeration/Air-conditioning equipment insulator,"Refrigeration/Air-conditioning equipment insulator applies and repairs insulating materials to buildings, boilers, pipes or refrigeration and air-conditioning equipment. He/she examines plans, specifications and work sites to determine the type, quality and quantity of insulation material required."
71242,Boiler/Pipe insulator,"Boiler/Pipe insulator applies insulating material such as asbestos, cork, felt or mineral wool to exposed surfaces of equipment such as boilers, pipes and tanks."
71249,Other insulation workers,This group includes insulators workers not elsewhere classified.
71250,Glazier,"Glazier measures, cuts, finishes, fits and installs flat glass and mirrors. He/she cuts glass with cutting tool according to pattern or outline and smooths rough edges."
71261,Plumber,"Plumber assembles, installs and maintains pipes, fittings and fixtures of drainage, heating, water supply and sanitary systems. He/she examines drawings and other specifications, locates and marks position of pipe and pipe connections and passage holes for pipes in walls and floors."
71262,Pipe fitter,"Pipe fitter assembles, installs and maintains high-pressure and low-pressure systems of metal pipes for conducting air, gas, steam, oil, water and other fluids. He/she finds and repairs leaks, joints, couplings and other fittings."
71263,Pipe/Drain layer,"Pipe/Drain layer lays pipes of glazed and unglazed clay, concrete, cast-iron and other materials in ditches to form sewers, drains, water mains and conduits for cables and other purposes. He/she smooths bottom of ditch to proper level and cuts out place for bell end of pipe."
71271,Air-conditioning/Refrigeration equipment mechanic,"Air-conditioning/Refrigeration equipment mechanic maintains and repairs industrial, commercial and domestic air-conditioning and refrigeration systems and equipment."
71272,Air-conditioning/Refrigeration plant installer,"Air-conditioning/Refrigeration plant installer installs residential central air-conditioning systems, commercial and industrial refrigeration and air-conditioning systems."
71290,Building finisher and related trades worker n.e.c.,This group includes building finisher and related trades worker not elsewhere classified in Minor Group 712 ‘Building Finishers and Related Trades Workers'.
71311,Building painter,"Building painter paints walls, equipment, buildings, bridges, and other structural surfaces, using brushes, rollers, and spray guns. He/she may remove old paint to prepare surface prior to painting and mix colours or oils to obtain the desired colour or consistency."
71312,Wall/Ceiling paperhanger,"Wall/Ceiling paperhanger covers interior walls and ceilings of buildings with wallpaper. He/she removes old paper with scraper, water and chemicals, and also cleans surface, fills cracks and holes with plaster and brushes sizing on surfaces."
71321,Structural steel/Ship painter,"Structural steel/Ship painter applies coatings of paint, red lead, bituminous emulsion and similar protective materials on bridges, ships' hulls and metal superstructure, steel framework of buildings, storage tanks and other metal structures. He/she rigs up scaffolding, cradles, ladders and other equipment, and scrapes dirt, rust or scale from surface to be painted."
71322,Motor vehicle spray painter,"Motor vehicle spray painter paints automotive vehicles such as automobiles, buses and trucks. He/she removes paint from vehicle or damaged parts using paint solvent and scraper, applies base coating and rubs it down to smooth surface."
71323,Sign painter,"Sign painter plans, lays out, and paints letters and designs to make signs. He/she prepares layout for sign, marks outlines of letters and designs directly on surface to be painted, or transfers outline from paper to surface to be painted."
71324,"Spray painter (except ships, motor vehicles and signs)","Spray painter (except ships, motor vehicles and signs) applies decorative and protective coatings of paint, enamel and lacquer on metal, wooden and other manufactured articles with a hand-spraying device. He/she selects and mixes paints to obtain the desired colour, and pours coating material into tank of spraying device."
71329,Other painters and related workers,This group includes painters and related workers not elsewhere classified.
71331,Building maintenance worker,"Building maintenance worker keeps structures such as office buildings, apartment houses, hotels and factory buildings in good condition. He/she performs concreting, bricklaying, carpentry, painting and other construction maintenance duties, and replaces defective electrical switches and other fixtures."
71332,Building structure cleaner and related worker,"Building structure cleaner and related worker cleans and refurbishes building exteriors, carpets, chimneys, industrial equipment, ventilation systems, windows and other surfaces, using specialised equipment and techniques."
72000,"Supervisor/General foreman (metal, machinery and related trades)","Supervisor/General foreman (metal, machinery and related trades) supervises production activities within a distinct unit of an establishment concerned with fabrication of metal products, preparation and erection of metal structures, or fitting and installing mechanical, and controls and coordinates the activities of workers in various occupations."
72110,Metal moulder and coremaker,Metal moulder and coremaker makes moulds and cores for casting metal.
72120,Welder and flame cutter,"Welder and flame cutter welds and cuts metal parts using gas flame, electric arc and other sources of heat to melt and cut, or to melt and fuse metal."
72130,Sheet metal worker,"Sheet metal worker makes, installs and repairs articles and parts of articles made out of sheet metal such as sheet steel, copper, tin, brass, aluminium, zinc or galvanised iron."
72140,Structural metal preparer and erector,"Structural metal preparer and erector assembles, erects and dismantles structural metal frames of buildings and other structures."
72150,Rigger and cable splicer,"Rigger and cable splicer assembles rigging gear to move and position equipment and structural components, or to install and maintain cables, ropes and wires on construction sites, buildings or other structures."
72210,"Blacksmith, hammersmith and forging-press worker","Blacksmith, hammersmith and forging-press worker, hammers and forges bars, rods or ingots of iron, steel and other metals to make and repair various kinds of tools, equipment and other articles, sets machine tools for operators or sets and operates various machine tools and polishes and sharpens surfaces."
72221,Tool and die maker,"Tool and die maker fits and assembles parts to make and repair metal-working dies, cutting tools, jig, fixtures, gauges, and machinists' hand tools. He/she studies drawings, models and other specifications, computes dimensions, plans layout and assembly operations."
72222,Locksmith,"Locksmith assembles, installs and repairs locks. He/she examines lock parts to check accuracy of fit; chisels, files, scrapes and does other supplementary tooling to correct inaccuracies."
72229,Other toolmakers and related workers,This group includes toolmakers and related workers not elsewhere classified.
72240,"Metal polisher, wheel grinder and tool sharpener","Metal polisher, wheel grinder and tool sharpener polishes and grinds metal surfaces and sharpens tools."
72310,Automotive mechanic,"Automotive mechanic fits, installs, maintains, services and repairs engines and the mechanical and related equipment of passenger cars, delivery trucks, motorcycles and other motor vehicles."
72320,Aircraft engine mechanic and repairer,"Aircraft engine mechanic and repairer fits, services, repairs and overhauls aircraft engines and assemblies, such as airframes, hydraulic, and pneumatic systems."
72330,Rolling stock mechanic,"Rolling stock mechanic fits, installs, examines, services and repairs rolling stock equipment and engines."
72340,Bicycle and related repairer,"Bicycle and related repairer fits, maintains, services and repairs the mechanical and related equipment of bicycles, rickshaws, baby carriages, wheelchairs and similar non-motorised transport equipment."
72350,Marine engine mechanic and repairer,"Marine engine mechanic and repairer fits, installs, examines, services and repairs marine equipment and engines."
72391,Machinery mechanic,"Machinery mechanic services and repairs various types of machinery, engines and related equipment (except automobile and aircraft engines and electrical apparatus). He/she examines faulty machinery and related equipment to ascertain nature and location of defects."
72392,Industrial/Office machinery mechanic,"Industrial/Office machinery mechanic works on new machinery and equipment in operation. He/she sets up for the specific application and builds accessories if necessary in addition to performing maintenance and repair, and running diagnostics to find faults in systems or parts that need replacing."
72399,Other machinery mechanics and repairers n.e.c. (e.g. agricultural machinery mechanic),This group includes machinery mechanics and repairers not elsewhere classified.
73000,"Supervisor/General foreman (precision, handicraft, printing and related trades)","Supervisor/General foreman (precision, handicraft, printing and related trades) supervises production activities within a distinct unit of an establishment in which precision instruments, musical instruments, jewellery, pottery and glass products are fabricated, or within a unit specialising in typesetting and related work in a printing establishment, and control and coordinate the activities of workers in various occupations."
73111,Watch and clock assembler/repairer,"Watch and clock assembler/repairer fits, assembles and polishes parts of watches and clocks in addition to checking them for accuracy of fit. He/she repairs, cleans and adjusts watches and clocks, and examines timepieces through magnifying lenses to discover defects. He/she removes and dismantle the clock or watch movements, cleans and lubricates parts, reassembles the movement and regulates it."
73112,Optical instrument maker/repairer,"Optical instrument maker/repairer reads blueprints and assembly drawings to assemble lenses and optical instruments, such as microscopes, telescopes, projection equipment, and medical diagnostic equipment. He/she processes, grinds, polishes, and coats glass materials, centre lenses according to the optical axis, and cements them to the optical frame."
73113,Medical device assembler/repairer,"Medical device assembler/repairer tests, adjusts, or repairs biomedical or electromedical equipment."
73119,Other precision instrument makers and repairers,This group includes precision instrument makers and repairers not elsewhere classified.
73120,Musical instrument maker/repairer/tuner,"Musical instrument maker/repairer/tuner makes, assembles, repairs, adjusts, restores musical instruments and tunes them to the required pitch with hand or power tools. He/she usually specialises in one type of instrument, such as string instruments, brass instruments, pianos, reed instruments or percussion instruments."
73130,Jewellery and precious metal worker,"Jewellery and precious metal worker designs, fabricates, adjusts, repairs, or appraises jewellery, ceremonial or religious items, gold, silver, other precious metals or gems. He/she cuts, files, polishes and sets precious and semi-precious stones including gems and diamonds and engraves designs on jewellery and precious metal articles. He/she cuts and polishes diamonds for industrial purposes."
73140,Potter and related worker,"Potter and related worker prepares pottery, porcelain ware, sanitary ware, bricks, tiles and abrasive wheels by hand or by machine."
73150,"Glass maker, cutter, grinder and finisher","Glass maker, cutter, grinder and finisher blows, moulds, presses, cuts, trims, grinds and polishes glass, shapes molten glass according to patterns."
73160,"Sign writer, decorative painter, engraver and etcher","Sign writer, decorative painter, engraver and etcher decorates articles made of wood, metal, textiles, glass, ceramics and other materials. He/she plans, lays out and paints letters, figures, monograms and designs to make signs and to engrave and etch ornamental and floral designs on glass and other articles."
73210,Pre-press trades worker,"Pre-press trades worker proofs, formats, sets and composes text and graphics into a form suitable for use in various printing processes and representation in other visual media."
73220,Printer,"Printer sets up and operates digital, letterpress, lithographic, flexographic, gravure, newspaper and other printing presses."
74001,Lift supervisor,"Lift supervisor supervises lift, escalator and related equipment maintenance, response and recovery, replacement and upgrading activities. He/she conducts risk assessment, develops and conducts safety and technical training and writes reports and resolves disputes."
74002,"Supervisor/General foreman (electrical and electronic trades, excluding lift)","Supervisor/General foreman (electrical and electronic trades, excluding lift) supervises production activities within a distinct unit of an establishment concerned with electrical or electronic machinery and equipment, and controls and coordinates the activities of workers in various occupations."
74110,Electrician,"Electrician installs, maintains and repairs electrical wiring systems and related equipment and fixtures."
74121,Electrical fitter,"Electrical fitter fits, adjusts, assembles and repairs various kinds of electrical machinery and electrical apparatus in factory, workshop or place of use. He/she examines wiring and assembly diagrams and other specifications, and checks parts for accuracy of fit and if necessary chisels, files, scrapes and does other supplementary tooling."
74122,"Electrical lift, escalator and related equipment fitter","Electrical lift, escalator and related equipment fitter assembles, installs, repairs, or maintains electric or hydraulic freight or passenger elevators, escalators, or dumbwaiters. He/she fits, adjusts and repairs electrical parts of lifts, escalators and equipment in factory, workshop or place of use."
74123,Electrical household appliance repairer,"Electrical household appliance repairer repairs simple electrical apparatus, mainly of a domestic kind, in workshop or place of use. He/she diagnoses faults with aid of electrical testing equipment and dismantles or partly dismantles equipment if necessary."
74131,Electrical line installer,"Electrical line installer constructs and repairs overhead high-tension or low-tension power lines conducting electricity between generating stations, substations and consumers. He/she climbs poles and pylons and fixes insulators, lightning arresters and other equipment. He/she also strings cables between pylons, poles and buildings, ensuring that proper sag is left in cables to avoid breakage under changing atmospheric conditions."
74132,Electric cable jointer,"Electric cable jointer makes joints in surface and underground cables. He/she joins and solders corresponding conductor wires, dries out moisture and wraps joints with insulating material."
74133,Underground electrical line installer and repairer,"Underground electrical line installer and repairer constructs, maintains and repairs underground electrical power transmission and distribution systems."
74211,Electronics fitter,"Electronics fitter fits, adjusts and repairs various kinds of electronic equipment in factory, workshop or place of use. He/she examines drawings and wiring diagrams, and checks parts for accuracy of fit and, where necessary, files, chisels, scrapes and does other supplementary tooling."
74212,Consumer audio and video equipment mechanic,"Consumer audio and video equipment mechanic repairs radio and television receivers in workshops or place of use. He/she examines drawings and wiring diagrams, and diagnoses faults with aid of testing equipment."
74221,"Radio, television and radar broadcasting/transmitting equipment fitter","Radio, television and radar broadcasting/transmitting equipment fitter fits, adjusts, installs and repairs radio, television, transmitters and radar equipment in factory, workshop or place of use. He/she specialises in television transmitters, radar equipment, radio transmitters and two way radio communications equipment."
74222,Computer and related electronic equipment mechanic,"Computer and related electronic equipment mechanic fits, adjusts and repairs computers and related electronic equipment in factory, workshop or place of use. He/she specialises in computers and related electronic equipment."
74223,Telecommunications lineman,"Telecommunications lineman installs and repairs overhead, underground and submarine wires and cables for telephone and telecommunications transmission, attaching terminal boxes, repeaters and other specialised equipment to poles. He/she installs auxiliary equipment such as terminal boxes and repeaters and makes connections to complete underground telephone and telecommunications cable systems."
74224,Telecommunications installer/servicer,"Telecommunications installer/servicer installs and repairs telephone and telecommunications equipment. He/she examines drawing and wiring diagrams, and installs or services telephone switchboards, relay racks, dial-switching equipment, receiving sets, telegraphic typewriters and other equipment in position."
75000,"Supervisor/General foreman (food processing, woodworking, garment, leather and related trades).","Supervisor/General foreman (food processing, woodworking, garment, leather and related trades) supervises production activities within a distinct unit of an establishment in which specific knowledge and skills are used for processing foodstuffs and beverages, preparation of fibres, treatment of wood, manufacture of wooden furniture, fur articles, made-to-order garments, footwear and leather goods, and controls and coordinates the activities of workers in various occupations."
75110,"Butcher, fishmonger and related food preparer","Butcher, fishmonger and related food preparer slaughters animals, cleans, cuts and dresses meat and fish, removes bones and prepares related food items or preserves meat, fish and other foods and food products by drying, salting or smoking."
75121,Baker,"Baker produces finished baked goods, such as bread, cake, and biscuits. He/she also weighs out ingredients and ensures all baking equipment and baking area are clean prior to and post production of any baked items."
75122,Pastry and confectionery maker,"Pastry and confectionery maker makes tarts, cakes and other pastry products. He/she also weighs out ingredients and ensures all confectionery equipment and cooking area are clean prior to and post production of any pastry and confectionery items."
75150,Food and beverage taster and grader,"Food and beverage taster and grader inspects, tastes and grades various types of agricultural products, food and beverages."
75190,Food processing and related trades worker n.e.c. (e.g. fruit pickler),This group includes food processing and related trades worker not elsewhere classified in Minor Group 751 ‘Food Processing and Related Trades Workers'.
75210,Wood treater,"Wood treater operates and tends wood treatment processing equipment and machines to remove bark from logs, produces wood chips, seasons, preserves and treats wood, and produces waferboards, particleboards, hardboards, insulation boards, plywood, veneers and similar wood products."
75220,Cabinet maker and wood related trades worker,"Cabinet maker and related worker makes, decorates and repairs wooden furniture, carts and other vehicles, wheels, parts, fittings, patterns, models and other wooden products using woodworking machines, machine tools and specialised hand tools."
75290,Furniture maker and related trades worker n.e.c.,"This group includes furniture makers and related trades workers not elsewhere classified in Minor Group 752 ‘Wood Treaters, Cabinet Makers and Related Trades Workers'."
75310,Tailor/Dressmaker,"Tailor/Dressmaker fabricates, fits, alters and repairs tailored or hand-made clothing. He/she produces made-to-measure clothing such as suits, overcoats, and dresses from textile fabrics, and other material, according to customers' and clothing manufacturers' specifications."
75320,Garment and related pattern-maker and cutter,"Garment and related pattern-maker and cutter creates precision master patterns for production of garments, other textiles, and leather or fur products. He/she marks, cuts, shapes and trims textile, light leather and other materials according to blueprints or specifications in the manufacture of garments, hats and caps, gloves and miscellaneous products."
75340,Upholsterer and related worker,"Upholsterer and related worker installs, repairs and replaces upholstery of furniture, fixtures, orthopaedic appliances; seats, panels, convertible and vinyl tops and other furnishings of automobiles, railway coaches, aircraft, ships and similar items with fabric, leather, rexine or other upholstery material. He/she also makes and repairs cushions, quilts and mattresses."
